,Unnamed: 0,tout,s,i,t1,t2,t3,t4,t5,sp,m,rh
7040,7040,0.8250000000000001,369.5,5301.867167355533,23.302051101163322,23.15738409123749,23.42301823577995,23.61027369144029,23.314642278653487,23.3,3.4690818418606133,25900.24718078122
7041,7041,0.9166666666666669,350.00000000000006,5301.867167355533,23.891825833391962,23.22963434774164,24.116633735487646,23.360274189719075,23.23674429630089,23.930000000000003,5.661370923950577,157653.80978891638
7042,7042,1.0083333333333333,330.5,5301.867167355533,23.46418750563606,23.87705250043868,24.421550358892798,23.26144942888175,23.21544844292448,23.45000000000001,5.733741412775467,44074.03876135762
7043,7043,1.1,311.0,5301.867167355533,24.68770270585832,23.631772678524236,24.798182135938806,23.470645704857677,23.223288140280534,24.92000000000001,8.266266657160399,137709.12650501824
7044,7044,1.1,291.5,5301.867167355533,24.849910346986203,24.423180446133838,24.979255017110237,23.233133003025195,23.259064185301323,24.85,3.2077617467350183,72392.3417451002
7045,7045,1.1,271.99999999999994,5301.867167355533,23.330166625612502,23.628143704387284,23.16576903814257,23.25093202111073,23.265421907270273,23.04,8.266579926027456,27307.822559276232
7046,7046,1.1,252.5,5301.867167355533,23.230274008104683,24.6368564190999,23.030841501993407,23.512239010372877,23.23207767631456,23.23,3.646522724245108,42338.620517647956
7047,7047,1.1,233.0,5301.867167355533,23.23009276944867,24.99828049577435,23.040027129076467,23.74478720712378,23.26715397394286,23.23,3.1452060688614334,23337.796872608415
7048,7048,1.1,213.5,5301.867167355533,24.05614069595356,23.93118056354259,23.61903544106014,23.28396044506561,23.282708556382516,24.15,6.2904121377228615,180223.29470166017
7049,7049,1.1,194.0,5301.867167355533,24.49298229257197,23.88028922845813,24.16049617851684,23.55145781333517,23.309429313121683,24.51000000000001,6.061859078647248,96209.20625249947
7050,7050,1.1,190.41666666666663,5301.867167355533,23.427736104398218,23.035669724252692,24.29890899264911,23.78213030533113,23.44359364497536,23.28,8.125808578427701,23804.2569602443
7051,7051,1.1,186.83333333333331,5301.867167355533,24.399674799746016,23.00039116556129,24.39928781020269,23.82479682672828,23.428608476118544,24.47,6.2904121377228615,174849.5502800416
7052,7052,1.1,183.25,5301.867167355533,24.56925034738069,23.98926830727297,24.60922371401097,23.776434654575834,23.453372441928483,24.570000000000004,4.053900093721312,80399.5610791099
7053,7053,1.1,179.66666666666663,5301.867167355533,23.68857707216516,23.85203086804481,22.95928279915423,23.23701822901717,23.437256294092702,23.61000000000001,5.6321419073457575,32107.282240451168
7054,7054,1.1,176.08333333333337,5301.867167355533,24.79122212492911,24.34680684665285,23.7599859025186,23.12026052717545,23.31117646067629,24.980000000000004,9.028383554487146,136403.7644666164
7055,7055,1.1,172.5,5301.867167355533,23.64442858673409,23.34005657970907,23.9077043759692,23.282142350794448,23.323164709566683,23.55,6.2904121377228615,25005.875510301456
7056,7056,1.1,168.91666666666666,4138.082794293235,23.93811902720991,24.20937201227266,24.10641876768711,23.378890832612363,23.334218590785238,23.94,3.2895685988011816,66435.3713880932
7057,7057,1.1,165.33333333333334,4138.082794293235,23.870175646535916,23.30025597011836,23.376665446088143,23.67066011516385,23.369482449315914,23.87,3.1452060688614334,40302.004187093655
7058,7058,1.1,161.75,4138.082794293235,24.83522645387223,23.945334549388555,23.074837101107306,23.709989982066396,23.393489816774,24.96,6.626106098588557,186964.2537315585
7059,7059,1.1,158.16666666666666,4138.082794293235,24.71028641435766,24.74087985729484,23.904103208386694,23.737484031442648,23.441485414627234,24.71,3.1452060688614334,64817.9949615934
7060,7060,1.1,154.58333333333334,4138.082794293235,23.689603131543745,23.17846694162396,24.222894044959375,23.356773845048426,23.530357488752788,23.57,6.473683972481557,44653.0774584771
7061,7061,1.1,151.0,4138.082794293235,24.73943880817,24.60184758253212,24.555136329368104,23.552581513709914,23.468096338966564,24.85,5.893211816879663,178417.17771658054
7062,7062,1.1,152.33333333333334,4138.082794293235,24.26225112373706,23.47754028471273,23.37642771784769,23.25921851164753,23.4420690741786,24.26,4.522362655966598,58293.16678610515
7063,7063,1.1,153.66666666666666,4138.082794293235,24.59745947489323,23.905189435237478,23.125475638499807,23.45530756266017,23.395596506636878,24.599999999999966,3.7062149183363937,92961.97539628892
7064,7064,1.1,155.0,4138.082794293235,23.87988974655612,23.581559063492087,23.30925707492509,23.44943244474069,23.37306273390949,23.86,6.307765677090943,67903.75606502057
7065,7065,1.1,156.33333333333334,4138.082794293235,23.99976348975081,24.452456019495745,23.02266595964143,23.21582249688535,23.346554223412646,24.0,3.145206068861432,46070.87212694461
7066,7066,1.1,157.66666666666666,4138.082794293235,24.870636386167927,24.141461267004136,23.69125504519968,23.34983040573989,23.31567669223305,25.0,7.941944828820831,130258.01837526678
7067,7067,1.1,159.0,4138.082794293235,23.455437540667486,23.151156880401462,23.87437951775327,23.19421494252736,23.317703089139954,23.14,7.9663509113534365,24970.836363277886
7068,7068,1.15,160.33333333333334,5301.867167355533,24.60563061660815,24.416799664508357,24.556554522520113,23.418533950681947,23.28795918483593,24.95000000000001,8.23817550733801,221984.02963755687
7069,7069,1.2000000000000002,161.66666666666666,5301.867167355533,24.939564809443716,24.888117616330472,24.57004199197771,23.12323539427761,23.31399290028577,24.94,3.1452060688614334,69752.71757330194
7070,7070,1.25,163.0,5301.867167355533,23.83429675819296,23.28669248830277,23.441815338360076,23.241706682013607,23.301942761274038,23.71,6.868177471356278,19580.678921314367
7071,7071,1.3000000000000005,164.33333333333334,5301.867167355533,24.891408578776172,23.19121866431388,24.18328123861945,23.460290679543014,23.31274983543393,25.0,6.2904121377228615,180799.27547241648
7072,7072,1.35,165.66666666666666,5301.867167355533,24.958803280117483,24.30211574630401,23.113737168796483,23.55672728353896,23.32721181355523,24.960000000000008,3.7398858568045257,103672.31283266869
7073,7073,1.4,167.0,5301.867167355533,23.50422155594293,24.93734342227395,23.49412443804711,23.638116722076038,23.368297783345923,23.25,8.640703030597958,22615.55652124021
7074,7074,1.45,161.66666666666666,5301.867167355533,23.20068681433025,23.31904188492662,24.21116169516085,23.725978500059252,23.452840215449484,23.2,3.1452060688614334,18942.769466281472
7075,7075,1.5,156.33333333333334,5301.867167355533,23.150319444281482,23.250850251044284,23.842974276435708,23.81466246216112,23.453733081739067,23.15,3.2932844047584915,13534.690391701935
7076,7076,1.55,151.0,5301.867167355533,23.030442950133466,23.952743689794048,23.70101191365877,23.378266339800838,23.44902789614521,23.03000000000001,3.43892810614334,16919.98240824062
7077,7077,1.6,145.66666666666669,5301.867167355533,24.171845546841716,23.57457300586585,24.27648157968915,23.558499642325312,23.38328958172564,24.320000000000004,8.033882633950714,125434.14884493827
7078,7078,1.65,140.33333333333334,5301.867167355533,24.546336889536427,24.45149792864625,23.081136179487128,23.17694275120471,23.42099382889327,24.55,3.6731119232520495,99059.68165259145
