,Unnamed: 0,tout,s,i,t1,t2,t3,t4,t5,t6,m,tret
3772,3772,10.808333333333335,0.0,0.0,23.08355473715905,24.274975912211104,23.97444748603748,23.757092565292783,23.9330644763312,22.790238665605198,128.69524604513316,23.07202560944621
3773,3773,10.85,0.0,0.0,23.07826384911137,24.702763160113374,24.000129534273754,23.027138323844323,23.46585208504765,22.797436600852627,104.53615569346745,23.086250254016896
3774,3774,10.891666666666666,0.0,0.0,23.069367395719233,23.238774526033048,23.03434545236547,24.09497184309516,23.6632263590621,22.752390868637317,115.15983024963008,23.079615147798446
3775,3775,10.933333333333335,0.0,0.0,23.05184734225821,24.41141722725975,24.141923913715633,23.43436758707595,23.78083883058757,22.75955513242897,137.53790029852794,23.048382675087147
3776,3776,10.975,0.0,0.0,23.087017492223033,23.79174007645391,23.4066127617034,24.528633210842408,23.402931426174888,22.72405985760557,111.29888671867256,23.088517255879392
3777,3777,11.016666666666666,0.0,0.0,23.055842707304183,24.59740016339561,24.09184953184317,23.28447404575004,23.37324179139536,22.680052096128197,132.796620463771,23.06507647339727
3778,3778,11.058333333333335,0.0,0.0,23.048874920018612,23.362023921719185,24.670072543295483,23.568760780557604,23.81768213523425,22.669307491196257,110.6865042317123,23.055153435260344
3779,3779,11.1,0.0,0.0,23.03991961595915,24.036724737961286,24.968669574930743,24.14020288989865,23.93671945276139,22.776471459021483,120.33293729042688,23.03705855986288
3780,3780,10.733333333333333,0.0,0.0,23.06306373706871,23.03857926489624,24.91005394489651,23.27527526537057,23.74626438082193,22.72128551928702,122.77986329590952,23.06139353524568
3781,3781,10.366666666666667,0.0,0.0,23.022992335186235,23.129879143566733,23.14222082753307,24.34187814228692,23.779611688127197,22.695259962669788,101.8978979177378,23.041389047198855
3782,3782,10.0,0.0,0.0,22.978192864644083,23.44813459101189,23.85096464559225,23.25723178413916,23.264638395863557,22.627770970504674,107.05285904032259,23.0014922662006
3783,3783,9.633333333333333,0.0,0.0,22.953431683003263,23.609632291055853,24.657881913366474,24.495754150217447,23.613084755704588,22.73947402410585,129.35427867798717,22.95288695765933
3784,3784,9.266666666666666,0.0,0.0,23.043326209379643,24.491219637715226,24.933233578577013,24.93212104407895,23.87377498310689,22.81502909666781,126.34720892861324,23.01808240111969
3785,3785,8.9,0.0,0.0,23.11119284170988,24.94118149549417,23.16332483371074,24.99821586563283,23.642510751523837,22.75406765343347,123.74340939662895,23.10346243866016
3786,3786,8.533333333333333,0.0,0.0,23.04148948955401,24.12221305371552,23.012090168252808,24.791669679050997,23.050730595448798,22.79290708551527,97.96978547146065,23.077374936792197
3787,3787,8.166666666666668,0.0,0.0,23.004414227521767,23.143000807435218,23.87875511939323,23.582677195977787,23.312414662876865,22.74979846231672,125.54192419691576,23.02144721675035
3788,3788,7.8000000000000025,0.0,0.0,22.96668280005307,24.276880169378014,24.66503628515037,23.024199862535987,23.60892581988288,22.796761617260238,114.89729169212342,22.973970112467928
3789,3789,7.433333333333334,0.0,0.0,22.96660841954488,23.130231313320884,24.96892680683424,24.37652624119367,23.43682149569468,22.72649234724906,126.12050867378636,22.969678229465273
3790,3790,7.066666666666667,0.0,0.0,22.92814407413235,23.020494323104426,24.950249498636783,23.81923098586789,23.415589034894747,22.686235902453518,117.51475322553108,22.941225257724515
3791,3791,6.7,0.0,0.0,22.893249248027896,23.06019789307724,24.522871387005853,23.03673280216532,23.288779699416644,22.637605631513228,118.81671365474243,22.911651494601287
3792,3792,6.65,0.0,0.0,22.81835539853296,23.986985250875158,24.45060142035173,23.03032144274408,23.00361489713612,22.76514328820765,98.81523280979995,22.8393795803591
3793,3793,6.6000000000000005,0.0,0.0,22.85152346156179,24.476050985650698,23.74137399902466,23.239266963501496,23.010354182824106,22.779849827971876,103.39714443766049,22.846185515166287
3794,3794,6.5500000000000025,0.0,0.0,22.84661375012507,24.17111324188737,23.28336477492341,24.3573956656068,23.00019979890192,22.805902229793034,101.28527307160655,22.84776513309059
3795,3795,6.500000000000001,0.0,0.0,22.9134719199787,24.74416707734148,24.31636668385797,24.773651904775075,23.27395144753148,22.83087353910555,118.28805786780235,22.89172632845925
3796,3796,6.4499999999999975,0.0,0.0,22.993753071467854,23.2399684849254,24.3260151788814,23.977239017791014,23.270630201086696,22.733767617851445,131.31336063341155,22.983895237644386
