DischargeAirTemperature,times
74.3459472656,2017-06-01 06:04:00
74.3459472656,2017-06-01 06:05:00
74.3459472656,2017-06-01 06:06:00
74.2940673828,2017-06-01 06:07:00
74.3459472656,2017-06-01 06:08:00
74.2421569824,2017-06-01 06:09:00
74.2421569824,2017-06-01 06:10:00
74.2940673828,2017-06-01 06:11:00
74.1902770996,2017-06-01 06:12:00
74.1902770996,2017-06-01 06:13:00
74.2421569824,2017-06-01 06:14:00
74.1902770996,2017-06-01 06:15:00
74.1902770996,2017-06-01 06:16:00
74.1902770996,2017-06-01 06:17:00
74.1383972168,2017-06-01 06:18:00
74.1383972168,2017-06-01 06:19:00
74.1902770996,2017-06-01 06:20:00
74.1902770996,2017-06-01 06:21:00
74.1383972168,2017-06-01 06:22:00
74.1383972168,2017-06-01 06:23:00
74.0864868164,2017-06-01 06:24:00
74.0864868164,2017-06-01 06:25:00
74.0346069336,2017-06-01 06:26:00
74.0346069336,2017-06-01 06:27:00
74.0346069336,2017-06-01 06:28:00
73.9826965332,2017-06-01 06:29:00
73.9308166504,2017-06-01 06:30:00
73.9308166504,2017-06-01 06:31:00
73.9826965332,2017-06-01 06:32:00
73.9308166504,2017-06-01 06:33:00
73.87890625,2017-06-01 06:34:00
73.8270263672,2017-06-01 06:35:00
73.87890625,2017-06-01 06:36:00
73.9308166504,2017-06-01 06:37:00
73.87890625,2017-06-01 06:38:00
73.87890625,2017-06-01 06:39:00
73.8270263672,2017-06-01 06:40:00
73.7751159668,2017-06-01 06:41:00
73.7751159668,2017-06-01 06:42:00
73.7231750488,2017-06-01 06:43:00
73.7231750488,2017-06-01 06:44:00
73.7231750488,2017-06-01 06:45:00
73.671295166,2017-06-01 06:46:00
73.671295166,2017-06-01 06:47:00
73.6193847656,2017-06-01 06:48:00
73.671295166,2017-06-01 06:49:00
73.671295166,2017-06-01 06:50:00
73.671295166,2017-06-01 06:51:00
73.671295166,2017-06-01 06:52:00
73.6193847656,2017-06-01 06:53:00
73.671295166,2017-06-01 06:54:00
73.671295166,2017-06-01 06:55:00
73.6193847656,2017-06-01 06:56:00
73.7231750488,2017-06-01 06:57:00
73.671295166,2017-06-01 06:58:00
73.671295166,2017-06-01 06:59:00
73.6193847656,2017-06-01 07:00:00
73.5675048828,2017-06-01 07:01:00
73.5155944824,2017-06-01 07:02:00
73.5155944824,2017-06-01 07:03:00
73.5155944824,2017-06-01 07:04:00
73.5155944824,2017-06-01 07:05:00
73.5675048828,2017-06-01 07:06:00
73.6193847656,2017-06-01 07:07:00
73.7231750488,2017-06-01 07:08:00
73.7231750488,2017-06-01 07:09:00
73.7751159668,2017-06-01 07:10:00
73.7751159668,2017-06-01 07:11:00
73.7751159668,2017-06-01 07:12:00
73.7751159668,2017-06-01 07:13:00
73.8270263672,2017-06-01 07:14:00
73.8270263672,2017-06-01 07:15:00
73.87890625,2017-06-01 07:16:00
73.87890625,2017-06-01 07:17:00
73.9308166504,2017-06-01 07:18:00
73.87890625,2017-06-01 07:19:00
73.9308166504,2017-06-01 07:20:00
73.8270263672,2017-06-01 07:21:00
73.87890625,2017-06-01 07:22:00
73.87890625,2017-06-01 07:23:00
73.8270263672,2017-06-01 07:24:00
73.8270263672,2017-06-01 07:25:00
73.8270263672,2017-06-01 07:26:00
73.87890625,2017-06-01 07:27:00
73.8270263672,2017-06-01 07:28:00
73.8270263672,2017-06-01 07:29:00
73.8270263672,2017-06-01 07:30:00
73.7751159668,2017-06-01 07:31:00
73.7231750488,2017-06-01 07:32:00
73.7231750488,2017-06-01 07:33:00
73.7231750488,2017-06-01 07:34:00
73.671295166,2017-06-01 07:35:00
73.671295166,2017-06-01 07:36:00
73.671295166,2017-06-01 07:37:00
73.5675048828,2017-06-01 07:38:00
73.5675048828,2017-06-01 07:39:00
73.6193847656,2017-06-01 07:40:00
73.5675048828,2017-06-01 07:41:00
73.5675048828,2017-06-01 07:42:00
73.5675048828,2017-06-01 07:43:00
73.5155944824,2017-06-01 07:44:00
73.4637145996,2017-06-01 07:45:00
73.4637145996,2017-06-01 07:46:00
73.4637145996,2017-06-01 07:47:00
73.4118041992,2017-06-01 07:48:00
73.4118041992,2017-06-01 07:49:00
73.4637145996,2017-06-01 07:50:00
73.4118041992,2017-06-01 07:51:00
73.308013916,2017-06-01 07:52:00
73.3599243164,2017-06-01 07:53:00
73.4118041992,2017-06-01 07:54:00
73.4118041992,2017-06-01 07:55:00
73.3599243164,2017-06-01 07:56:00
73.3599243164,2017-06-01 07:57:00
73.3599243164,2017-06-01 07:58:00
73.3599243164,2017-06-01 07:59:00
73.2561340332,2017-06-01 08:00:00
73.308013916,2017-06-01 08:01:00
73.2561340332,2017-06-01 08:02:00
73.308013916,2017-06-01 08:03:00
73.2561340332,2017-06-01 08:04:00
73.308013916,2017-06-01 08:05:00
73.308013916,2017-06-01 08:06:00
73.2561340332,2017-06-01 08:07:00
73.308013916,2017-06-01 08:08:00
73.2561340332,2017-06-01 08:09:00
73.2301635742,2017-06-01 08:10:00
73.308013916,2017-06-01 08:11:00
73.1782836914,2017-06-01 08:12:00
73.2301635742,2017-06-01 08:13:00
73.1782836914,2017-06-01 08:14:00
73.126373291,2017-06-01 08:15:00
73.2301635742,2017-06-01 08:16:00
73.126373291,2017-06-01 08:17:00
73.126373291,2017-06-01 08:18:00
73.126373291,2017-06-01 08:19:00
73.126373291,2017-06-01 08:20:00
73.126373291,2017-06-01 08:21:00
73.0744934082,2017-06-01 08:22:00
73.0744934082,2017-06-01 08:23:00
73.0744934082,2017-06-01 08:24:00
73.0225830078,2017-06-01 08:25:00
73.0744934082,2017-06-01 08:26:00
73.0225830078,2017-06-01 08:27:00
73.0225830078,2017-06-01 08:28:00
73.0744934082,2017-06-01 08:29:00
73.126373291,2017-06-01 08:30:00
73.0225830078,2017-06-01 08:31:00
73.0225830078,2017-06-01 08:32:00
73.0225830078,2017-06-01 08:33:00
73.0225830078,2017-06-01 08:34:00
73.0225830078,2017-06-01 08:35:00
73.0225830078,2017-06-01 08:36:00
73.0225830078,2017-06-01 08:37:00
73.0225830078,2017-06-01 08:38:00
73.0744934082,2017-06-01 08:39:00
73.0744934082,2017-06-01 08:40:00
73.0744934082,2017-06-01 08:41:00
73.0744934082,2017-06-01 08:42:00
73.0225830078,2017-06-01 08:43:00
73.0225830078,2017-06-01 08:44:00
73.0744934082,2017-06-01 08:45:00
73.0225830078,2017-06-01 08:46:00
73.0225830078,2017-06-01 08:47:00
72.970703125,2017-06-01 08:48:00
72.9187927246,2017-06-01 08:49:00
72.8669128418,2017-06-01 08:50:00
72.8150024414,2017-06-01 08:51:00
72.7631225586,2017-06-01 08:52:00
72.8150024414,2017-06-01 08:53:00
72.8150024414,2017-06-01 08:54:00
72.8150024414,2017-06-01 08:55:00
72.8150024414,2017-06-01 08:56:00
72.9187927246,2017-06-01 08:57:00
72.8150024414,2017-06-01 08:58:00
72.8150024414,2017-06-01 08:59:00
72.8150024414,2017-06-01 09:00:00
72.8150024414,2017-06-01 09:01:00
72.7631225586,2017-06-01 09:02:00
72.7111816406,2017-06-01 09:03:00
72.7111816406,2017-06-01 09:04:00
72.7631225586,2017-06-01 09:05:00
72.7111816406,2017-06-01 09:06:00
72.7631225586,2017-06-01 09:07:00
72.8150024414,2017-06-01 09:08:00
72.8150024414,2017-06-01 09:09:00
72.8150024414,2017-06-01 09:10:00
72.8669128418,2017-06-01 09:11:00
72.8669128418,2017-06-01 09:12:00
72.8669128418,2017-06-01 09:13:00
72.8669128418,2017-06-01 09:14:00
72.8669128418,2017-06-01 09:15:00
72.8669128418,2017-06-01 09:16:00
72.8669128418,2017-06-01 09:17:00
72.8669128418,2017-06-01 09:18:00
72.9187927246,2017-06-01 09:19:00
72.8669128418,2017-06-01 09:20:00
72.8150024414,2017-06-01 09:21:00
72.8150024414,2017-06-01 09:22:00
72.8150024414,2017-06-01 09:23:00
72.7631225586,2017-06-01 09:24:00
72.7631225586,2017-06-01 09:25:00
72.7111816406,2017-06-01 09:26:00
72.7631225586,2017-06-01 09:27:00
72.7111816406,2017-06-01 09:28:00
72.7111816406,2017-06-01 09:29:00
72.7111816406,2017-06-01 09:30:00
72.6593017578,2017-06-01 09:31:00
72.6593017578,2017-06-01 09:32:00
72.6073913574,2017-06-01 09:33:00
72.6073913574,2017-06-01 09:34:00
