,real,prediction
112,76.8999938965,77.1352278354
113,76.8666381836,77.132401241
114,76.8666381836,77.1295760367
115,76.8666381836,77.1267522218
116,76.8666381836,77.1238787513
117,76.8666381836,77.1209556496
118,76.8666381836,77.1180339855
119,76.8666381836,77.1150627139
120,76.8666381836,77.1120973064
121,76.8333129883,77.1090205776
122,76.8333129883,77.1059453342
123,76.8333129883,77.1028715755
124,76.8333129883,77.0997491785
125,76.8333129883,77.0967034722
126,76.8333129883,77.0936592363
127,76.8333129883,77.0906164702
128,76.8333129883,77.0876252804
129,76.8333129883,77.0846355348
130,76.8333129883,77.0816472325
131,76.8333129883,77.0786603729
132,76.8333129883,77.0756749553
133,76.799987793,77.0726909789
134,76.799987793,77.0697084432
135,76.799987793,77.0667273473
136,76.799987793,77.0638103214
137,76.799987793,77.0608947037
138,76.799987793,77.0579303861
139,76.7666625977,77.0549674996
140,76.7666625977,77.0519434128
141,76.7666625977,77.0489207861
142,76.7666625977,77.0458494963
143,76.7666625977,77.0427295819
144,76.7666625977,77.0396111736
145,76.7666625977,77.0364441634
146,76.7666625977,77.0332285746
147,76.7666625977,77.0300145383
148,76.7666625977,77.0267519461
149,76.7666625977,77.0234909291
150,76.7666625977,77.0202815938
151,76.7666625977,77.017073808
152,76.7333374023,77.0138174633
153,76.7333374023,77.0105125832
154,76.7333374023,77.0072092987
155,76.7333374023,77.0039076089
156,76.7333374023,77.0005574056
157,76.6999816895,76.9971587122
158,76.6999816895,76.9937616596
159,76.6999816895,76.9903161396
160,76.6999816895,76.9869223904
161,76.6999816895,76.9835302797
162,76.6999816895,76.9800896991
163,76.6999816895,76.9766507796
164,76.6999816895,76.9731634128
165,76.6666564941,76.9696777296
166,76.6666564941,76.9661937293
167,76.6666564941,76.9626237044
168,76.6666564941,76.9589802344
169,76.6333312988,76.9551882011
170,76.6333312988,76.9512226296
171,76.6333312988,76.9472088504
172,76.6333312988,76.9430341486
173,76.6333312988,76.9387361862
174,76.6333312988,76.9343901913
175,76.6333312988,76.929996187
176,76.6333312988,76.9255541819
177,76.6333312988,76.9210642285
178,76.6333312988,76.9165263205
179,76.6333312988,76.9118528041
180,76.6333312988,76.9071037547
181,76.5999755859,76.9023076098
182,76.5999755859,76.8974643774
183,76.5999755859,76.892623448
184,76.5999755859,76.8877848205
185,76.5999755859,76.8829484939
186,76.5999755859,76.8780651133
187,76.5999755859,76.8731840548
188,76.5999755859,76.8682806405
189,76.5999755859,76.8633548809
190,76.5999755859,76.85838211
191,76.5666503906,76.8534117037
192,76.5666503906,76.8484436608
193,76.5333251953,76.8435520037
194,76.5333251953,76.8386626725
195,76.5333251953,76.8338250345
196,76.5333251953,76.8290390651
197,76.5333251953,76.8243047252
198,76.5333251953,76.8195232828
199,76.5333251953,76.814744114
200,76.5333251953,76.8100165715
201,76.5333251953,76.805291277
202,76.5333251953,76.8004941772
203,76.5333251953,76.7956500047
204,76.5333251953,76.7908081357
205,76.5333251953,76.7859192155
206,76.5333251953,76.7809832662
207,76.5333251953,76.7760003104
208,76.5333251953,76.7710197241
209,76.5333251953,76.7659057798
210,76.5333251953,76.7607942673
211,76.5333251953,76.7556358316
212,76.5333251953,76.7504304952
213,76.5333251953,76.7451782658
214,76.5333251953,76.7399285339
215,76.5333251953,76.734582591
216,76.5333251953,76.7292391901
217,76.4333190918,76.7238489764
218,76.4333190918,76.7184613258
219,76.4333190918,76.7130268834
220,76.4333190918,76.7075950252
221,76.4333190918,76.7021163962
222,76.4333190918,76.6966403724
223,76.4333190918,76.6911669525
224,76.4333190918,76.6856344468
225,76.4333190918,76.6800552182
226,76.4333190918,76.6744292889
227,76.4333190918,76.6688060348
228,76.4333190918,76.663136101
