,on,t,tout,tdis,t_pre,hour,weekday,il
2689,0.0,73.6199890137,66.4887084961,73.868536377,73.3999938965,8.0,2.0,0.168622107341
2690,0.2,73.7266479492,66.488696289,73.8321899414,73.6199890137,8.0,2.0,0.125704048632
2691,0.8,73.299987793,65.9334289551,52.7151550293,73.7266479492,9.0,2.0,-0.196356114584
2692,0.0,72.9999816894,66.286315918,68.7721862793,73.299987793,9.0,2.0,-0.351133966699
2693,0.0,73.1066467285,66.3849121094,72.8461303711,72.9999816894,9.0,2.0,0.0545827915315
2694,0.0,73.2399810791,66.3641540527,73.4273803711,73.1066467285,9.0,2.0,0.0815571956646
2695,0.0,73.299987793,66.7274505615,73.5726867676,73.2399810791,9.0,2.0,0.00767895422605
2696,0.0,73.6066467285,66.9557983398,73.5986328125,73.299987793,9.0,2.0,0.253928112172
2697,0.0,73.6333312988,66.9973083496,73.7750915527,73.6066467285,9.0,2.0,-0.0254113996414
2698,0.0,73.6999938965,67.9833557129,74.3563476562,73.6333312988,9.0,2.0,0.0122695989609
2699,0.0,73.8333190918,69.1250915527,75.0258361816,73.6999938965,9.0,2.0,0.0763581190432
2700,0.8,73.5199890137,69.9399047852,64.3401611328,73.8333190918,9.0,2.0,-0.0923634464167
2701,0.2,73.399987793,70.4277160644,61.854284668,73.5199890137,9.0,2.0,-0.110626844026
2702,0.0,73.2333251953,70.8428955078,74.1124267578,73.399987793,9.0,2.0,-0.228460972238
2703,0.0,73.299987793,70.0955810547,74.8493835449,73.2333251953,10.0,2.0,0.00625449391552
2704,0.0,73.4199951172,70.2097595215,75.3994750976,73.299987793,10.0,2.0,0.0594854518595
2705,0.0,73.6799926758,70.6664428711,75.778338623,73.4199951172,10.0,2.0,0.198669573565
2706,0.0,73.8266601563,70.8792297363,75.9340393066,73.6799926758,10.0,2.0,0.0854525333307
2707,0.4,73.8866638184,71.2321289062,72.000213623,73.8266601563,10.0,2.0,0.138077635481
2708,1.0,73.606665039,72.0417236328,52.263659668,73.8866638184,10.0,2.0,0.00595448757783
2709,0.0,73.4599975586,72.2129821777,67.7083007812,73.606665039,10.0,2.0,-0.211251438213
2710,0.0,73.299987793,71.5071838379,74.7144470215,73.4599975586,10.0,2.0,-0.223254980973
2711,0.0,73.3799926758,70.9466918945,75.5707519531,73.299987793,10.0,2.0,0.0177185529517
2712,0.0,73.4599975586,71.3774414062,75.876953125,73.3799926758,10.0,2.0,0.016878755412
2713,0.0,73.7400024414,71.4812316894,75.731628418,73.4599975586,10.0,2.0,0.216821805372
2714,0.4,73.8666687012,71.6369140625,74.5795043945,73.7400024414,10.0,2.0,0.203563557959
2715,1.0,73.7399902344,71.7095825195,53.7479125976,73.8666687012,11.0,2.0,0.160022179946
2716,0.0,73.4199951172,72.4932250976,68.5594177246,73.7399902344,11.0,2.0,-0.384930844173
2717,0.0,73.3799987793,72.316784668,75.0829040527,73.4199951172,11.0,2.0,-0.105275781821
2718,0.0,73.5399902344,72.4620910644,75.9755554199,73.3799987793,11.0,2.0,0.0942683357308
2719,0.0,73.6999816895,73.3080200195,76.5516052246,73.5399902344,11.0,2.0,0.0926259766541
2720,0.0,73.8333129883,73.5674926758,76.9252746582,73.6999816895,11.0,2.0,0.06572762977
2721,1.0,73.6333312988,73.6505432129,61.1069702148,73.8333129883,11.0,2.0,0.0819917970164
2722,0.0,73.5799987793,74.5276062012,66.5302368164,73.6333312988,11.0,2.0,-0.123394597696
2723,0.0,73.6133239746,74.0657409668,76.058581543,73.5799987793,11.0,2.0,-0.0357587217479
2724,0.0,73.799987793,74.6832946777,77.112097168,73.6133239746,11.0,2.0,0.116181066902
2725,0.0,73.9599853516,75.596697998,77.5999206543,73.799987793,11.0,2.0,0.0877747546668
2726,1.0,74.0666503906,77.0757568359,62.0359191894,73.9599853516,11.0,2.0,0.380740737193
2727,1.0,73.9466552734,77.195123291,52.1494750976,74.0666503906,12.0,2.0,0.154050169642
2728,0.6,73.1799926758,77.1121032715,55.2685058594,73.9466552734,12.0,2.0,-0.632488548027
2729,0.0,73.0333251953,76.8629882812,73.9878845215,73.1799926758,12.0,2.0,-0.223406669598
2730,0.0,73.2799926758,77.8646057129,76.4166687012,73.0333251953,12.0,2.0,0.167178921164
2731,0.0,73.6999816895,77.838671875,77.0290649414,73.2799926758,12.0,2.0,0.34115315122
2732,0.0,73.7799865723,77.5999328613,77.6674072266,73.6999816895,12.0,2.0,0.00274623100547
2733,0.4,74.2266601563,77.8957458496,75.1296203613,73.7799865723,12.0,2.0,0.508680923678
2734,1.0,74.2666625977,78.0722045898,54.6924499512,74.2266601563,12.0,2.0,0.312330824091
2735,1.0,73.4599853516,78.2901550293,51.9211364746,74.2666625977,12.0,2.0,-0.534774929209
2736,0.2,73.299987793,77.7971435547,63.0479248047,73.4599853516,12.0,2.0,-0.168411673863
2737,0.0,73.4333190918,78.2797790527,76.0066833496,73.299987793,12.0,2.0,0.0534871560974
2738,0.0,73.6666564941,79.2035522461,77.413104248,73.4333190918,12.0,2.0,0.151600682766
2739,0.0,73.6666564941,80.1636657715,78.0410644531,73.6666564941,13.0,2.0,-0.0834768596525
2740,0.0,74.253326416,80.2415039062,78.6949645996,73.6666564941,13.0,2.0,0.503006692255
2741,0.8,74.3999938965,81.1964233398,66.3797302246,74.253326416,13.0,2.0,0.341687954436
2742,1.0,74.053326416,81.4610839844,53.3690734863,74.3999938965,13.0,2.0,-0.0820381674646
2743,0.6,73.5333251953,81.253503418,54.1008361816,74.053326416,13.0,2.0,-0.395487634072
2744,0.0,73.5333251953,80.6255432129,74.0293945312,73.5333251953,13.0,2.0,-0.084901984357
2745,0.0,73.8333251953,80.9109802246,77.0653869629,73.5333251953,13.0,2.0,0.214414585933
2746,0.8,73.8999938965,81.217175293,67.0076782226,73.8333251953,13.0,2.0,0.260633867655
2747,1.0,73.6866577149,81.1860412598,52.9746459961,73.8999938965,13.0,2.0,0.0507545100258
2748,0.6,73.2666625977,80.490612793,53.208190918,73.6866577149,13.0,2.0,-0.294532845491
2749,0.0,73.2599914551,80.9680786133,72.8824645996,73.2666625977,13.0,2.0,-0.0930317465274
2750,0.0,73.6066467286,80.7500915527,76.3388305664,73.2599914551,13.0,2.0,0.260800629104
2751,0.0,73.6999816895,81.5648742676,77.2158996582,73.6066467286,14.0,2.0,0.00635946605842
2752,0.0,73.8933227539,81.8140075684,77.9632202148,73.6999816895,14.0,2.0,0.105992537296
2753,0.8,74.2666625977,82.0631103516,66.3485839844,73.8933227539,14.0,2.0,0.56542321842
2754,1.0,74.0533325195,82.1824645996,53.026550293,74.2666625977,14.0,2.0,0.0492527745238
2755,0.6,73.4400024414,83.0128173828,54.599041748,74.0533325195,14.0,2.0,-0.493028850812
2756,0.0,73.3666687012,83.5213928222,74.7559570312,73.4400024414,14.0,2.0,-0.165392782398
2757,0.0,73.5999816894,83.8328125,77.3093017578,73.3666687012,14.0,2.0,0.140332720281
2758,0.2,73.8333129883,83.6926757812,77.9320800781,73.5999816894,14.0,2.0,0.211136545302
2759,1.0,73.8466552735,83.7290100098,57.9827453613,73.8333129883,14.0,2.0,0.271184620666
2760,1.0,73.753314209,82.9297790527,53.2393310547,73.8466552735,14.0,2.0,0.166446837494
2761,0.4,73.6733154297,82.2862548828,60.001550293,73.753314209,14.0,2.0,-0.0285676188801
2762,0.0,73.6133239746,82.6495422363,76.5671813965,73.6733154297,14.0,2.0,-0.149404373668
2763,0.0,73.6666564941,84.4192443848,78.1604248047,73.6133239746,15.0,2.0,-0.0404612849322
2764,0.0,73.8266418457,84.9070739746,78.7883789062,73.6666564941,15.0,2.0,0.0651512188475
2765,0.8,74.2799804688,84.4866943359,68.4867614746,73.8266418457,15.0,2.0,0.639459487798
2766,1.0,74.2799804688,84.2012695312,54.1734680176,74.2799804688,15.0,2.0,0.257781059737
2767,1.0,73.7699859619,84.0455749512,52.8500915527,74.2799804688,15.0,2.0,-0.251840663336
2768,0.2,73.4333190918,84.1960723877,60.9253295898,73.7699859619,15.0,2.0,-0.35965987416
2769,0.0,73.4399902344,84.2946777344,76.2194641113,73.4333190918,15.0,2.0,-0.0872553991212
2770,0.0,73.7399780273,82.8052368164,77.7660095215,73.4399902344,15.0,2.0,0.209643433553
2771,0.6,73.9533203125,82.6443481445,71.346307373,73.7399780273,15.0,2.0,0.333775475245
2772,1.0,73.9333312988,83.3657165527,54.1319519043,73.9533203125,15.0,2.0,0.239010502158
2773,1.0,73.6199890136,83.3864624023,52.7047790527,73.9333312988,15.0,2.0,-0.0544403019489
2774,0.0,73.4333190918,83.6044494629,67.6979125976,73.6199890136,15.0,2.0,-0.278496881989
2775,0.0,73.4933227539,83.6615356445,73.1678955078,73.4333190918,16.0,2.0,-0.0324069300511
2776,0.0,73.7466552735,83.1373718262,72.0209777832,73.4933227539,16.0,2.0,0.162320615761
2777,0.0,73.8799865723,83.5369873047,72.0521057129,73.7466552735,16.0,2.0,0.0419691456371
2778,0.0,74.5266540527,83.6304016113,72.5658874512,73.8799865723,16.0,2.0,0.555400901593
2779,0.0,74.6666564941,83.8328063965,73.2768798828,74.5266540527,16.0,2.0,0.0497995730179
2780,0.0,74.906652832,84.5022521972,74.0034484863,74.6666564941,16.0,2.0,0.148525808679
2781,0.0,75.2333068848,84.388092041,74.7351989746,74.906652832,16.0,2.0,0.236031490242
2782,0.0,75.2333068848,83.7030578613,75.4254272461,75.2333068848,16.0,2.0,-0.0882002495175
2783,0.0,75.6466491699,82.4730957031,76.0378295898,75.2333068848,16.0,2.0,0.328086967904
2784,0.0,75.6999816895,81.2898254394,76.6346435547,75.6466491699,16.0,2.0,-0.02809998413
2785,0.0,75.8266540528,80.4387145996,77.1328552246,75.6999816895,16.0,2.0,0.047405393253
2786,0.0,76.0,79.9975952148,77.6310791016,75.8266540528,16.0,2.0,0.0954384565971
2787,0.0,76.0,79.6550598144,77.9995483398,76.0,17.0,2.0,-0.0766723016626
2788,0.0,76.1866516114,79.4059570312,78.3835693359,76.0,17.0,2.0,0.110575743402
2789,0.0,76.1999816895,79.0634399414,78.6845825195,76.1866516114,17.0,2.0,-0.0614787866801
2790,0.0,76.2799865723,78.9337036133,78.9596496582,76.1999816895,17.0,2.0,0.00553856586253
2791,0.0,76.3999938965,78.8298950195,79.156854248,76.2799865723,17.0,2.0,0.0459811169398
2792,0.0,76.3999938965,78.5288757324,79.3333007812,76.3999938965,17.0,2.0,-0.0730181316315
2793,0.0,76.4933288574,78.4769836426,79.4993591308,76.3999938965,17.0,2.0,0.0204410759305
2794,0.0,76.5,78.1863769531,79.6654296875,76.4933288574,17.0,2.0,-0.0653034602855
2795,0.0,76.5399902344,78.0203186035,79.738092041,76.5,17.0,2.0,-0.0315707974979
2796,0.0,76.5999755859,78.5911743164,79.8419006348,76.5399902344,17.0,2.0,-0.0128467462561
2797,0.0,76.6066467285,78.7987731934,79.9249267578,76.5999755859,17.0,2.0,-0.0665143902919
2798,0.0,76.7199951172,78.7261169434,80.0287414551,76.6066467285,17.0,2.0,0.0403527915723
2799,0.0,76.7333374023,78.684564209,80.0806335449,76.7199951172,18.0,2.0,-0.059282427996
2800,0.0,76.7766601563,78.2693969726,80.1325378418,76.7333374023,18.0,2.0,-0.0282759669289
2801,0.0,76.8333129883,78.2590209961,80.1481018066,76.7766601563,18.0,2.0,-0.0148173165773
2802,0.0,76.8333129883,78.3524353027,80.1947937012,76.8333129883,18.0,2.0,-0.0715581675899
2803,0.0,76.9133239746,78.1863708496,80.2051757812,76.8333129883,18.0,2.0,0.00885043141079
2804,0.0,76.9333190918,77.9372741699,80.2155517578,76.9133239746,18.0,2.0,-0.0503774461266
2805,0.0,76.9466491699,77.7815795898,80.2155517578,76.9333190918,18.0,2.0,-0.0566218265382
2806,0.0,76.9666442871,77.4961364746,80.2051696777,76.9466491699,18.0,2.0,-0.0492414265403
2807,0.0,76.9466491699,77.2470306396,80.2051696777,76.9666442871,18.0,2.0,-0.0885873451078
2808,0.0,76.9666442871,76.9875427246,80.1792297363,76.9466491699,18.0,2.0,-0.048023686496
2809,0.0,76.9666442871,76.7332641602,80.1481018066,76.9666442871,18.0,2.0,-0.0673621026547
2810,0.0,76.9799865723,76.5567993164,80.1325378418,76.9666442871,18.0,2.0,-0.0535973028117
2811,0.0,77.0,76.1727539062,80.0391235352,76.9799865723,19.0,2.0,-0.0459746839913
