,real,prediction
95,76.9666442871,77.6352762496
96,76.9666442871,77.6370338402
97,76.9333190918,77.6387849597
98,76.9333190918,77.6405296318
99,76.9333190918,77.6419364001
100,76.8999938965,77.6431722489
101,76.8999938965,77.6444035474
102,76.8999938965,77.6456303125
103,76.8999938965,77.6468525609
104,76.8999938965,77.6480703091
105,76.8999938965,77.6489935164
106,76.8999938965,77.6499133247
107,76.9333190918,77.6506640063
108,76.9333190918,77.6512461352
109,76.8999938965,77.6516603807
110,76.8999938965,77.651907361
111,76.8999938965,77.6519876918
112,76.8999938965,77.652067727
113,76.8666381836,77.6521474674
114,76.8666381836,77.6522269142
115,76.8666381836,77.6523060685
116,76.8666381836,77.6522191914
117,76.8666381836,77.651966894
118,76.8666381836,77.6517155256
119,76.8666381836,77.6512993426
120,76.8666381836,77.6507189518
121,76.8333129883,77.6497677463
122,76.8333129883,77.648820043
123,76.8333129883,77.647875829
124,76.8333129883,77.6467693026
125,76.8333129883,77.6459155335
126,76.8333129883,77.6450649078
127,76.8333129883,77.644217414
128,76.8333129883,77.6435387806
129,76.8333129883,77.6428626459
130,76.8333129883,77.6421890005
131,76.8333129883,77.6415178355
132,76.8333129883,77.6408491415
133,76.799987793,77.6401829096
134,76.799987793,77.6395191307
135,76.799987793,77.6388577956
136,76.799987793,77.6384060584
137,76.799987793,77.6379559845
138,76.799987793,77.6373418276
139,76.7666625977,77.6367299319
140,76.7666625977,77.6359131262
141,76.7666625977,77.6350993279
142,76.7666625977,77.6341227371
143,76.7666625977,77.6329840018
144,76.7666625977,77.6318494592
145,76.7666625977,77.6305533538
146,76.7666625977,77.6290962804
147,76.7666625977,77.6276445717
148,76.7666625977,77.6260324679
149,76.7666625977,77.6244262996
150,76.7666625977,77.6229917851
151,76.7666625977,77.6215625522
152,76.7333374023,77.6199728415
153,76.7333374023,77.6182232437
154,76.7333374023,77.6164800878
155,76.7333374023,77.6147433499
156,76.7333374023,77.6128472663
157,76.6999816895,77.6107924237
158,76.6999816895,77.6087451468
159,76.6999816895,77.6065396676
160,76.6999816895,77.6045080487
161,76.6999816895,77.6024839098
162,76.6999816895,77.6003014835
163,76.6999816895,77.5981270926
164,76.6999816895,77.5957949674
165,76.6666564941,77.5934714287
166,76.6666564941,77.5911564449
167,76.6666564941,77.5885598785
168,76.6666564941,77.5857242378
169,76.6333312988,77.5824018174
170,76.6333312988,77.5785115637
171,76.6333312988,77.5744698446
172,76.6333312988,77.5699043147
173,76.6333312988,77.5649412199
174,76.6333312988,77.5598306584
175,76.6333312988,77.5545731731
176,76.6333312988,77.5491692563
177,76.6333312988,77.5436195446
178,76.6333312988,77.5379244772
179,76.6333312988,77.5317945809
180,76.6333312988,77.5251900338
181,76.5999755859,77.5184440635
182,76.5999755859,77.5115571421
183,76.5999755859,77.5046955773
184,76.5999755859,77.4978592757
185,76.5999755859,77.4910481444
186,76.5999755859,77.4840963505
187,76.5999755859,77.4771701521
188,76.5999755859,77.4701865849
189,76.5999755859,77.46314586
190,76.5999755859,77.455965318
191,76.5666503906,77.4488112137
192,76.5666503906,77.4416834497
193,76.5333251953,77.4348305147
194,76.5333251953,77.4280028112
195,76.5333251953,77.4213660351
196,76.5333251953,77.4149194834
197,76.5333251953,77.408662407
198,76.5333251953,77.4022626281
199,76.5333251953,77.3958864122
200,76.5333251953,77.3896994126
201,76.5333251953,77.3835351927
202,76.5333251953,77.3771449852
203,76.5333251953,77.3706125655
204,76.5333251953,77.3641041972
205,76.5333251953,77.3574540516
206,76.5333251953,77.3506626508
207,76.5333251953,77.3437305148
208,76.5333251953,77.3368239019
209,76.5333251953,77.3294869208
210,76.5333251953,77.3221769533
211,76.5333251953,77.3147281599
212,76.5333251953,77.3071410518
213,76.5333251953,77.2994160895
214,76.5333251953,77.2917195693
215,76.5333251953,77.2837199065
216,76.5333251953,77.2757496971
217,76.4333190918,77.2676430928
218,76.4333190918,77.2595663358
219,76.4333190918,77.2513535761
220,76.4333190918,77.2431710546
221,76.4333190918,77.2348529198
222,76.4333190918,77.2265654111
223,76.4333190918,77.2183084158
224,76.4333190918,77.2098746585
225,76.4333190918,77.201306213
226,76.4333190918,77.1926035752
227,76.4333190918,77.1839329792
228,76.4333190918,77.1751285669
229,76.3999938965,77.1661907336
230,76.3666687012,77.157120068
231,76.3666687012,77.1480827992
232,76.3666687012,77.1389130642
233,76.3666687012,77.1296113507
234,76.3666687012,77.120095299
235,76.3666687012,77.1104485438
236,76.3666687012,77.1008373066
237,76.3666687012,77.0912614565
238,76.3666687012,77.0815550744
239,76.3666687012,77.0718844297
240,76.3666687012,77.0619593824
241,76.3333129883,77.0522366176
242,76.3333129883,77.0425496505
243,76.3333129883,77.0328983494
244,76.3333129883,77.0232825829
245,76.3333129883,77.0134536345
246,76.3333129883,77.0036608748
247,76.3333129883,76.993738333
248,76.3333129883,76.9838523245
249,76.3333129883,76.9740027148
250,76.3333129883,76.9641893698
251,76.3333129883,76.954246416
252,76.3333129883,76.9443400707
253,76.3333129883,76.934304459
254,76.3333129883,76.9243057969
255,76.3333129883,76.9143439483
256,76.299987793,76.9040872976
257,76.299987793,76.8938684104
258,76.299987793,76.8835214075
259,76.299987793,76.8727981262
260,76.299987793,76.8621143263
261,76.299987793,76.8514698626
262,76.299987793,76.8406573786
263,76.299987793,76.8298847044
264,76.299987793,76.8191516937
265,76.2666625977,76.8084582002
266,76.2666625977,76.7978040786
267,76.2666625977,76.7871891838
268,76.2666625977,76.7764476314
269,76.1999816895,76.7657456278
270,76.1999816895,76.7550830273
271,76.1999816895,76.7444596849
272,76.1999816895,76.733875456
273,76.1999816895,76.7233301967
274,76.1999816895,76.7128237634
275,76.1999816895,76.7023560132
276,76.1999816895,76.6919268036
277,76.1666564941,76.6813702528
278,76.1666564941,76.6708525696
279,76.1666564941,76.6602078708
280,76.1666564941,76.6497681043
