,on,t,tout,tdis,t_pre,hour,weekday
29,0.0,73.3856090794,66.2273767911,73.3073776516,73.376732798,1.0,2.0
30,0.0,75.1372095744,64.7536097209,74.5820833842,75.3905451457,1.0,3.0
31,0.0,74.3355367025,64.7211766561,72.6878428141,74.3938842774,1.0,4.0
32,0.0,79.7172083537,68.9270233154,80.6298695882,80.056656901,1.0,0.0
33,0.0,79.3988800049,77.034248352,80.1640940348,79.6794265747,1.0,1.0
34,0.0,77.4911010742,65.5113189697,78.1353357951,77.8660995484,1.0,2.0
35,0.0,76.478322347,63.6443135579,76.9801930745,76.9477666219,1.0,3.0
36,0.0,77.6644322713,58.2876345316,75.1464851379,78.393321991,1.0,4.0
37,0.0,80.3394343059,73.951117452,80.9667722066,80.4955398559,1.0,0.0
38,0.0,78.1308222453,71.0388173421,78.0851730347,78.3077641805,1.0,1.0
39,0.0,77.9266489665,63.8030275981,78.0881958008,78.3944300334,1.0,2.0
40,0.0,74.3938802083,59.7853057861,72.6454671224,74.6944274902,2.0,3.0
41,0.0,75.524991862,57.7673619588,73.5207972209,76.0777699788,2.0,4.0
42,0.0,75.6102648417,52.1931711833,72.729800415,76.1983225505,2.0,0.0
43,0.0,76.0944335937,59.5266881307,75.6533398946,76.5033228556,2.0,1.0
44,0.0,76.5016560872,70.0069254557,76.338827006,76.7461008708,2.0,2.0
45,0.0,78.7577636719,75.2372929891,79.7078236898,79.0166549682,2.0,3.0
46,0.0,73.6138783773,52.1624623616,70.9670257568,74.1344314575,2.0,4.0
47,0.0,76.8288731893,62.4623392741,76.8037424723,77.3110977173,2.0,0.0
48,0.0,74.8389190913,55.643844958,73.0014247802,75.4961505484,2.0,1.0
49,0.0,73.3944853608,65.9866987375,73.2382851324,73.3856090794,2.0,2.0
50,0.0,74.9035975138,64.0690004984,74.3290926615,75.1372095744,2.0,3.0
51,0.0,74.286102295,63.8121246338,72.6653488159,74.3355367025,2.0,4.0
52,0.0,79.3755493164,67.1227167765,79.8860046387,79.7172083537,2.0,0.0
53,0.0,79.0566533407,69.6812708537,79.4578542073,79.3988800049,2.0,1.0
54,0.0,77.0430430094,62.3797409057,76.7963902791,77.4911010742,2.0,2.0
55,0.0,75.9838760376,61.9438039144,76.0724243164,76.478322347,2.0,3.0
56,0.0,76.9922114055,56.8755950928,74.049299113,77.6644322713,2.0,4.0
57,0.0,80.1388824463,71.6200612386,80.3781682332,80.3394343059,2.0,0.0
58,0.0,77.9669296265,70.0454249064,77.8345657349,78.1308222453,2.0,1.0
59,0.0,77.4160985311,61.7063690185,76.4672775268,77.9266489665,2.0,2.0
60,0.0,74.1388829549,58.6271385193,72.2782946269,74.3938802083,3.0,3.0
61,0.0,75.057766215,57.3712178548,72.8911142985,75.524991862,3.0,4.0
62,0.0,75.0638737996,51.3766410828,71.536592102,75.6102648417,3.0,0.0
63,0.0,75.648878479,56.91884257,74.8450459798,76.0944335937,3.0,1.0
64,0.0,76.2383199056,65.7772855123,75.7035120646,76.5016560872,3.0,2.0
65,0.0,78.476095581,73.7184514364,79.1862612406,78.7577636719,3.0,3.0
66,0.0,73.1149856567,51.7500974019,70.4393997192,73.6138783773,3.0,4.0
67,0.0,76.363319397,61.907909139,76.1165384928,76.8288731893,3.0,0.0
68,0.0,74.2846591186,54.1339915797,71.8752723784,74.8389190913,3.0,1.0
69,0.0,73.4033616422,65.7460206839,73.1691926132,73.3944853608,3.0,2.0
70,0.0,74.3797091166,63.6663675944,74.1444419861,74.9035975138,3.0,3.0
71,0.0,74.1866536458,64.6195419311,72.6688115438,74.286102295,3.0,4.0
72,0.0,78.9422108968,65.6017074585,79.341082255,79.3755493164,3.0,0.0
73,0.0,78.7241579692,69.9465886434,78.3818506877,79.0566533407,3.0,1.0
74,0.0,76.4066502889,61.7686518351,75.8466690063,77.0430430094,3.0,2.0
75,0.0,75.2710973104,60.9434870402,75.2788243612,75.9838760376,3.0,3.0
76,0.0,76.3894317627,55.5340489705,73.316666158,76.9922114055,3.0,4.0
77,0.0,79.9383244832,72.4543126424,79.8937952677,80.1388824463,3.0,0.0
78,0.0,77.4052617391,68.7789016724,77.5099733988,77.9669296265,3.0,1.0
79,0.0,76.7810943604,60.6005325317,75.2818491618,77.4160985311,3.0,2.0
80,0.0,73.9349822998,58.9290031433,71.9833531698,74.1388829549,4.0,3.0
81,0.0,74.6277654012,55.9985371907,72.2354797363,75.057766215,4.0,4.0
82,0.0,74.5499903361,49.8634012858,70.9644297282,75.0638737996,4.0,0.0
83,0.0,75.0749847412,54.9355021159,73.7344467163,75.648878479,4.0,1.0
84,0.0,75.9038752238,63.0371007283,74.7555252075,76.2383199056,4.0,2.0
85,0.0,78.0183202108,71.2373181661,78.2194615682,78.476095581,4.0,3.0
86,0.0,72.6594324748,50.5778600057,69.4442647298,73.1149856567,4.0,4.0
87,0.0,75.8038742065,60.9201339722,75.2325454712,76.363319397,4.0,0.0
88,0.0,73.8302521079,53.1564034165,71.0927905273,74.2846591186,4.0,1.0
89,0.0,73.4122379235,65.5053426302,73.100100094,73.4033616422,4.0,2.0
90,0.0,74.0094340006,62.6491780599,73.4269500732,74.3797091166,4.0,3.0
91,0.0,74.0383148193,64.2956217448,72.6705388387,74.1866536458,4.0,4.0
92,0.0,78.2777633667,63.5080769857,78.0051630656,78.9422108968,4.0,0.0
93,0.0,78.2616592407,69.7517616272,77.3036895752,78.7241579692,4.0,1.0
94,0.0,75.9588762919,59.2507659912,75.1572873433,76.4066502889,4.0,2.0
95,0.0,74.6833211263,60.4828948975,74.1457310994,75.2710973104,4.0,3.0
96,0.0,75.8588734945,54.6383951823,72.3435984294,76.3894317627,4.0,4.0
97,0.0,79.6227630615,73.0770772298,79.2792409261,79.9383244832,4.0,0.0
98,0.0,76.7933156331,68.3883705139,76.8379091899,77.4052617391,4.0,1.0
99,0.0,76.2510986328,58.870618693,73.897916158,76.7810943604,4.0,2.0
100,0.0,73.7527674357,58.9601384481,71.9284286499,73.9349822998,5.0,3.0
101,0.0,73.9516606649,57.4330739339,71.8133789062,74.6277654012,5.0,4.0
102,0.0,73.8205459595,51.8783157349,70.5855743408,74.5499903361,5.0,0.0
103,0.0,74.5422119141,55.1154144287,72.6662226359,75.0749847412,5.0,1.0
104,0.0,75.5574900309,63.2092310587,74.5293273926,75.9038752238,5.0,2.0
105,0.0,75.2722081502,71.0967615763,77.0930704753,78.0183202108,5.0,3.0
106,0.0,72.4316502889,53.0797388712,68.895900472,72.6594324748,5.0,4.0
107,0.0,74.5688735962,60.9201299031,74.0877873739,75.8038742065,5.0,0.0
108,0.0,73.6329279209,55.15044988,70.4975135523,73.8302521079,5.0,1.0
109,0.0,73.4211142049,65.2646645766,73.0310075749,73.4122379235,5.0,2.0
110,0.0,73.6288762411,61.3309783935,72.7077382405,74.0094340006,5.0,3.0
111,0.0,73.6099904378,65.2449081421,72.7587758382,74.0383148193,5.0,4.0
112,0.0,75.00165507,66.5661295573,76.7795232137,78.2777633667,5.0,0.0
113,0.0,75.3377683004,70.2030484517,76.7866612752,78.2616592407,5.0,1.0
114,0.0,74.5399876913,61.2196212768,74.7715255737,75.9588762919,5.0,2.0
115,0.0,73.9610977173,61.657069397,73.5484680176,74.6833211263,5.0,3.0
116,0.0,74.6455464681,57.4166244507,72.4486857096,75.8588734945,5.0,4.0
117,0.0,75.7388763428,72.1065989176,78.4008794149,79.6227630615,5.0,0.0
118,0.0,74.9635953267,65.8808687846,76.4694343567,76.7933156331,5.0,1.0
119,0.0,74.5822092692,61.9913782755,74.9311106364,76.2510986328,5.0,2.0
