on,hour,t_pre_dis,tou_dis,t_value
0.4,12.0,73.0,75.0,74.5828183196
0.35,12.0,73.0,77.0,73.7544367472
0.416666666667,12.0,73.0,79.0,73.8530457051
0.316666666667,12.0,73.0,80.0,73.6749852498
0.416666666667,12.0,74.0,80.0,74.8849904378
0.383333333333,12.0,73.0,81.0,73.6455418905
0.433333333333,12.0,73.0,81.0,73.7316482544
0.0,12.0,73.0,82.0,73.6286460956
0.466666666667,12.0,73.0,83.0,73.8883249919
0.466666666667,12.0,73.0,85.0,74.1188751221
0.55,12.0,73.0,85.0,73.9713745117
0.233333333333,12.0,73.0,88.0,73.7473978678
0.4,12.0,73.0,88.0,73.8744333903
0.616666666667,12.0,73.0,88.0,74.0183222453
0.633333333333,12.0,73.0,93.0,74.2066589356
0.9,12.0,74.0,99.0,74.4577679952
0.0,13.0,73.0,69.0,73.2790937029
0.166666666667,13.0,73.0,74.0,73.4855417887
0.266666666667,13.0,73.0,76.0,73.6816584269
0.316666666667,13.0,73.0,77.0,73.7530398051
0.0166666666667,13.0,74.0,77.0,75.6326513956
0.383333333333,13.0,73.0,79.0,73.4610977173
0.4,13.0,73.0,80.0,73.7527664185
0.45,13.0,73.0,80.0,74.9522132365
0.0166666666667,13.0,73.0,83.0,73.8649986267
0.433333333333,13.0,73.0,83.0,73.7894241333
0.6,13.0,74.0,83.0,74.8872065226
0.566666666667,13.0,73.0,85.0,73.9138804118
0.666666666667,13.0,73.0,86.0,73.8335970561
0.666666666667,13.0,74.0,89.0,73.9619303386
0.05,13.0,73.0,90.0,74.7052666346
0.55,13.0,73.0,90.0,73.7749893188
0.6,13.0,74.0,91.0,74.1427663167
0.783333333333,13.0,74.0,95.0,74.1794306437
0.9,13.0,74.0,99.0,74.8844306946
0.0,14.0,73.0,68.0,73.2879699843
0.15,14.0,73.0,72.0,73.3816622416
0.216666666667,14.0,73.0,74.0,73.5999913534
0.316666666667,14.0,73.0,77.0,73.7372126261
0.0,14.0,75.0,77.0,76.6824844715
0.433333333333,14.0,74.0,81.0,75.332766215
0.416666666667,14.0,73.0,82.0,73.8356807708
0.383333333333,14.0,73.0,83.0,73.6327713013
0.566666666667,14.0,73.0,85.0,73.9538803101
0.583333333333,14.0,74.0,85.0,74.919153595
0.0,14.0,73.0,86.0,74.4125628741
0.683333333333,14.0,73.0,87.0,74.1138768514
0.566666666667,14.0,73.0,88.0,73.9408192953
0.566666666667,14.0,73.0,92.0,73.8983235677
0.366666666667,14.0,74.0,92.0,74.406926918
0.683333333333,14.0,73.0,93.0,73.9658259074
0.733333333333,14.0,74.0,93.0,74.1027679443
0.716666666667,14.0,74.0,95.0,75.4066558838
1.0,14.0,74.0,99.0,75.6816541036
0.0,15.0,73.0,68.0,73.2968462656
0.1,15.0,73.0,70.0,73.6099868775
0.116666666667,15.0,73.0,71.0,74.5183222453
0.383333333333,15.0,73.0,77.0,75.2583227794
0.0,15.0,76.0,78.0,77.7323175475
0.416666666667,15.0,73.0,79.0,74.613873291
0.483333333333,15.0,75.0,82.0,77.0458188375
0.466666666667,15.0,73.0,83.0,74.6910954793
0.0666666666667,15.0,74.0,85.0,75.5363297405
0.6,15.0,73.0,87.0,75.6927622477
0.616666666667,15.0,74.0,87.0,76.4433232625
0.666666666667,15.0,74.0,88.0,76.477208964
0.766666666667,15.0,74.0,88.0,75.0083254496
0.666666666667,15.0,73.0,90.0,75.6466506958
0.633333333333,15.0,73.0,92.0,75.7027674357
0.766666666667,15.0,73.0,95.0,75.9094309489
0.866666666667,15.0,74.0,95.0,76.3172093709
0.583333333333,15.0,75.0,95.0,76.3738769531
0.866666666667,15.0,75.0,99.0,77.3972145081
0.0,16.0,73.0,68.0,73.305722547
0.0,16.0,74.0,68.0,75.0049850464
0.0,16.0,73.0,70.0,74.2794372558
0.0,16.0,74.0,73.0,75.703876241
0.0,16.0,75.0,77.0,77.4138768514
0.0,16.0,77.0,79.0,78.7821506234
0.0,16.0,75.0,81.0,76.938315328
0.0,16.0,74.0,82.0,76.350545756
0.0,16.0,77.0,83.0,79.7688786825
0.0,16.0,75.0,85.0,77.4385888948
0.0,16.0,75.0,87.0,78.3699890137
0.0,16.0,75.0,88.0,77.6960973104
0.0,16.0,76.0,88.0,78.244434611
0.0,16.0,76.0,89.0,79.5894363403
0.0,16.0,75.0,91.0,77.6502694872
0.0,16.0,75.0,93.0,78.0402654012
0.0,16.0,76.0,95.0,79.3338709513
0.0,16.0,76.0,97.0,79.0894358317
0.0,16.0,77.0,99.0,79.4144332886
0.0,17.0,75.0,66.0,75.0833185831
0.0,17.0,73.0,68.0,73.3145988284
0.0,17.0,74.0,74.0,74.828881836
0.0,17.0,75.0,75.0,76.4116526286
0.0,17.0,77.0,77.0,78.3177663167
0.0,17.0,76.0,78.0,76.8780410767
0.0,17.0,78.0,79.0,79.8541410579
0.0,17.0,77.0,81.0,78.5675325084
0.0,17.0,76.0,83.0,78.3877604167
0.0,17.0,79.0,83.0,80.7091621399
0.0,17.0,77.0,86.0,79.0777740479
0.0,17.0,78.0,88.0,80.0488683065
0.0,17.0,78.0,89.0,79.2583226522
0.0,17.0,79.0,89.0,80.8538731893
0.0,17.0,78.0,91.0,79.4910975138
0.0,17.0,77.0,92.0,79.2955435011
0.0,17.0,79.0,92.0,80.2777654012
0.0,17.0,78.0,93.0,79.6322077433
0.0,17.0,79.0,93.0,80.0930419922
0.0,17.0,79.0,95.0,80.7238749186
0.0,18.0,75.0,64.0,75.0144302368
0.0,18.0,73.0,67.0,73.3234751098
0.0,18.0,74.0,72.0,75.2655426025
0.0,18.0,80.0,74.0,79.7658195495
0.0,18.0,76.0,76.0,76.9794362386
0.0,18.0,76.0,77.0,76.9560994466
0.0,18.0,78.0,77.0,79.0333185831
0.0,18.0,78.0,81.0,79.6192381745
0.0,18.0,79.0,81.0,80.5655471802
0.0,18.0,78.0,84.0,79.6116526286
0.0,18.0,79.0,85.0,79.8211013794
0.316666666667,18.0,80.0,86.0,80.7672093709
0.0,18.0,80.0,88.0,80.5310966492
0.0,18.0,80.0,89.0,80.7366566976
0.0,18.0,79.0,90.0,80.125268809
0.0,18.0,79.0,91.0,80.2352661133
0.35,18.0,80.0,91.0,80.6966501872
0.183333333333,18.0,80.0,94.0,80.707212321
0.0,18.0,79.0,95.0,80.6016548157
0.0,19.0,75.0,63.0,74.8972167969
0.0,19.0,73.0,67.0,73.3323513912
0.0,19.0,75.0,73.0,75.9305379232
0.0,19.0,76.0,73.0,76.807770284
0.0,19.0,76.0,74.0,77.3516576131
0.0,19.0,79.0,74.0,79.022765096
0.0,19.0,79.0,75.0,79.4144307455
0.0,19.0,80.0,79.0,80.3555465698
0.0,19.0,79.0,80.0,80.0062656143
0.1,19.0,80.0,81.0,80.1338775635
0.0,19.0,79.0,83.0,80.1660970052
0.0,19.0,79.0,85.0,80.077762858
0.183333333333,19.0,80.0,85.0,80.8249913534
0.2,19.0,80.0,85.0,80.466100057
0.0,19.0,79.0,88.0,79.7133178711
0.0,19.0,80.0,89.0,80.5872111003
0.133333333333,19.0,80.0,92.0,80.41387736
0.266666666667,19.0,80.0,92.0,80.8149887085
0.15,19.0,80.0,93.0,80.5166519165
0.0,19.0,80.0,94.0,80.5255452474
0.0,20.0,74.0,62.0,74.8066497803
0.0,20.0,73.0,67.0,73.3412276725
0.0,20.0,75.0,69.0,75.6794352214
0.0,20.0,76.0,69.0,76.5872055054
0.0,20.0,77.0,69.0,76.879985555
0.0,20.0,79.0,69.0,78.1777659098
0.0,20.0,80.0,73.0,79.2816073359
0.0,20.0,80.0,74.0,79.6017946879
0.0,20.0,79.0,75.0,79.2249923706
0.0,20.0,80.0,75.0,79.564986674
0.0,20.0,80.0,78.0,79.6227630615
0.0,20.0,80.0,81.0,80.2572057088
0.0833333333333,20.0,80.0,81.0,80.3716557821
0.216666666667,20.0,80.0,81.0,80.5277669271
0.1,20.0,80.0,83.0,80.0960988363
0.0,20.0,79.0,84.0,79.0008211772
0.1,20.0,80.0,86.0,80.271097819
0.216666666667,20.0,80.0,86.0,80.603326416
0.283333333333,20.0,80.0,90.0,80.4594327291
0.0,21.0,74.0,62.0,74.6627634684
0.0,21.0,78.0,62.0,77.2169331868
0.0,21.0,76.0,63.0,76.2788731893
0.0,21.0,75.0,66.0,75.2216562907
0.0,21.0,79.0,66.0,78.5297691865
0.0,21.0,73.0,67.0,73.3501039539
0.0,21.0,79.0,67.0,78.7616551717
0.0,21.0,76.0,68.0,76.3010976156
0.0,21.0,79.0,70.0,78.7941530863
0.0,21.0,80.0,71.0,80.3505477905
0.0,21.0,79.0,72.0,79.0138791402
0.0,21.0,79.0,73.0,78.8891537984
0.0,21.0,80.0,76.0,79.7733215332
0.0,21.0,80.0,77.0,79.4019325257
0.0,21.0,79.0,78.0,78.254989624
0.0,21.0,80.0,78.0,80.373597463
0.0833333333333,21.0,80.0,83.0,80.1633270264
0.0,22.0,76.0,60.0,75.7463762919
0.0,22.0,77.0,60.0,76.396651713
0.0,22.0,74.0,62.0,74.5255477905
0.0,22.0,75.0,62.0,74.6883214315
0.0,22.0,78.0,63.0,77.7711807306
0.0,22.0,78.0,65.0,78.0408215841
0.0,22.0,73.0,66.0,73.3589802353
0.0,22.0,79.0,66.0,78.3466578166
0.0,22.0,76.0,67.0,76.0022079468
0.0,22.0,80.0,67.0,79.7272125244
0.0,22.0,78.0,70.0,78.0816543579
0.0,22.0,80.0,71.0,80.0222086589
0.0,22.0,78.0,73.0,77.6577672323
0.0,22.0,79.0,73.0,78.6827667236
0.0,22.0,79.0,74.0,78.7844319661
0.0,22.0,79.0,75.0,79.0633206686
0.0,22.0,80.0,76.0,79.838873291
0.0,22.0,80.0,78.0,80.1794321696
