,Unnamed: 0,tout,s,i,t1,t2,sp0,sp1,sp2,sp3,sp4,sp,m,rh
31,31,1.4666666666666668,0.0,10247.059048438321,22.429473432542032,21.736642646828066,24.63,24.63,24.63,24.63,24.63,24.63,146.79410273208543,1424775.3481290685
32,32,1.375,0.0,10247.059048438321,22.431896101397342,21.73883339859398,24.64,24.64,24.64,24.64,24.64,24.64,146.79410273208543,1424846.341206863
33,33,1.2833333333333337,0.0,10247.059048438321,22.43668588883089,21.74120469917914,24.66,24.66,24.66,24.66,24.66,24.66,146.79410273208543,1427423.0662568882
34,34,1.1916666666666669,0.0,10247.059048438321,22.440313235931683,21.743587597276004,24.68,24.68,24.68,24.68,24.68,24.68,146.79410273208543,1428510.757343792
35,35,1.1,0.0,10247.059048438321,22.442289655936378,21.745679042154173,24.69,24.69,24.69,24.69,24.69,24.69,146.79410273208543,1428492.644488017
36,36,1.1,0.0,10247.059048438321,22.44805699510385,21.74887749803805,24.71,24.71,24.71,24.71,24.71,24.71,146.79410273208543,1429989.0657965166
37,37,1.1,0.0,10247.059048438321,22.452857963282717,21.753417609756927,24.72,24.72,24.72,24.72,24.72,24.72,146.79410273208543,1428880.2573709316
38,38,1.1,0.0,10247.059048438321,22.4610703446578,21.759498831958513,24.74,24.74,24.74,24.74,24.74,24.74,146.7941027320854,1431096.5086869374
39,39,1.1,0.0,10247.059048438321,22.465293321254244,21.76624467163314,24.75,24.75,24.75,24.75,24.75,24.75,146.79410273208543,1428892.474648873
40,40,1.1,0.0,10247.059048438321,22.473554829939367,21.773538746754678,24.77,24.77,24.77,24.77,24.77,24.77,146.7941027320854,1431407.7564815532
41,41,1.1,0.0,10247.059048438321,22.47824607251893,21.78068112726706,24.78,24.78,24.78,24.78,24.78,24.78,146.79410273208546,1430028.7720499018
42,42,1.1,0.0,10247.059048438321,22.48404588189695,21.787698907479463,24.79,24.79,24.79,24.79,24.79,24.79,146.79410273208543,1430185.0470493997
43,43,1.1,0.0,10247.059048438321,22.491534073692065,21.794882694728226,24.81,24.81,24.81,24.81,24.81,24.81,146.79410273208546,1431543.0160934813
44,44,1.1,0.0,10247.059048438321,22.496628134473454,21.801985338713088,24.82,24.82,24.82,24.82,24.82,24.82,146.79410273208543,1430693.8276175368
45,45,1.1,0.0,10247.059048438321,22.502495313306483,21.80903879187889,24.83,24.83,24.83,24.83,24.83,24.83,146.7941027320854,1431094.7418951269
46,46,1.1,0.0,10247.059048438321,22.507561821644263,21.81598209896265,24.84,24.84,24.84,24.84,24.84,24.84,146.79410273208543,1430259.3583278118
47,47,1.1,0.0,10247.059048438321,22.514005756404554,21.82291332267819,24.85,24.85,24.85,24.85,24.85,24.85,146.79410273208543,1431301.2696292782
48,48,1.15,0.0,10247.059048438321,22.519423840446038,21.828535446379686,24.87,24.87,24.87,24.87,24.87,24.87,146.79410273208546,1432649.758189001
49,49,1.2000000000000002,0.0,10247.059048438321,22.52162284364789,21.832208965273658,24.88,24.88,24.88,24.88,24.88,24.88,146.79410273208546,1432698.3382069182
50,50,1.25,0.0,10247.059048438321,22.524342319410096,21.83426941720961,24.89,24.89,24.89,24.89,24.89,24.89,146.79410273208543,1434005.536482661
51,51,1.3000000000000005,0.0,10247.059048438321,22.526910297026035,21.835307948908447,24.9,24.9,24.9,24.9,24.9,24.9,146.79410273208543,1435066.4542499415
52,52,1.35,0.0,10247.059048438321,22.529001292499853,21.83590547084844,24.91,24.91,24.91,24.91,24.91,24.91,146.79410273208546,1435304.6811436662
53,53,1.4,0.0,10247.059048438321,22.531898252987236,21.836471568416844,24.92,24.92,24.92,24.92,24.92,24.92,146.79410273208543,1436602.777434002
54,54,1.45,0.0,10247.059048438321,22.53272431648581,21.836754620964047,24.92,24.92,24.92,24.92,24.92,24.92,146.79410273208546,1436368.8494464385
55,55,1.5,0.0,10247.059048438321,22.535443190364862,21.83693618541265,24.93,24.93,24.93,24.93,24.93,24.93,146.79410273208543,1437775.9072184402
56,56,1.55,0.0,10247.059048438321,22.537901457345825,21.837085502345328,24.94,24.94,24.94,24.94,24.94,24.94,146.7941027320855,1438808.9814664098
57,57,1.6,0.0,10247.059048438321,22.53978880129021,21.83734932375061,24.95,24.95,24.95,24.95,24.95,24.95,146.79410273208546,1439035.9917992675
58,58,1.65,0.0,10247.059048438321,22.54078071010498,21.837499314692195,24.95,24.95,24.95,24.95,24.95,24.95,146.79410273208543,1439077.5348864659
59,59,1.7,0.0,10247.059048438321,22.54367169522445,21.837618177201065,24.96,24.96,24.96,24.96,24.96,24.96,146.79410273208543,1440596.1052312772
60,60,1.6999999999999995,0.0,10247.059048438321,22.548621268787052,21.84032135029873,24.97,24.97,24.97,24.97,24.97,24.97,146.79410273208543,1440226.9874309732
61,61,1.7000000000000002,0.0,10247.059048438321,22.553759314241837,21.846149365736718,24.97,24.97,24.97,24.97,24.97,24.97,146.7941027320854,1437663.1826441253
62,62,1.7,0.0,10247.059048438321,22.56255525406921,21.854913439741743,24.98,24.98,24.98,24.98,24.98,24.98,146.79410273208546,1437897.7560084206
63,63,1.7000000000000002,0.0,10247.059048438321,22.568934767070203,21.865123556907395,24.98,24.98,24.98,24.98,24.98,24.98,146.79410273208543,1436246.9077639878
64,64,1.6999999999999995,0.0,10247.059048438321,22.574902436117874,21.87585837247789,24.98,24.98,24.98,24.98,24.98,24.98,146.79410273208543,1434136.255806833
65,65,1.7,0.0,10247.059048438321,22.584045808738193,21.886874393352823,24.99,24.99,24.99,24.99,24.99,24.99,146.79410273208543,1435175.8117503182
66,66,1.7,0.0,10247.059048438321,22.589598784641986,21.897788731700448,24.99,24.99,24.99,24.99,24.99,24.99,146.79410273208543,1432409.150628363
67,67,1.7000000000000002,0.0,10247.059048438321,22.50875432689852,21.884040950466822,24.99,24.99,24.99,24.99,24.99,24.99,143.34407061799885,1390804.284445519
68,68,1.7,0.0,10247.059048438321,22.514033951651754,21.86913799710463,25.0,25.0,25.0,25.0,25.0,25.0,143.5086168320981,1391375.3127092388
69,69,1.7,0.0,10247.059048438321,22.50170612277815,21.85956913063921,25.0,25.0,25.0,25.0,25.0,25.0,142.53038668231716,1378904.1230978384
70,70,1.6999999999999995,0.0,10247.059048438321,22.50063834293405,21.856939118291702,25.0,25.0,25.0,25.0,25.0,25.0,142.12284844030017,1372875.5813423218
71,71,1.7,0.0,10247.059048438321,22.49977304951061,21.858764581033586,25.0,25.0,25.0,25.0,25.0,25.0,141.71767217909044,1366845.076017789
72,72,1.7416666666666665,0.0,11385.95717784291,22.50586690906764,21.861598843384293,25.0,25.0,25.0,25.0,25.0,25.0,141.61317844436428,1364064.9692907894
73,73,1.7833333333333337,0.0,11385.95717784291,22.51408164038555,21.86523821312687,25.0,25.0,25.0,25.0,25.0,25.0,141.64010781206957,1365104.6107828068
74,74,1.825,0.0,11385.95717784291,22.518319232882618,21.86919727982195,25.0,25.0,25.0,25.0,25.0,25.0,141.59002913001353,1363745.7738663577
75,75,1.866666666666667,0.0,11385.95717784291,22.521763676829963,21.872918919700574,25.0,25.0,25.0,25.0,25.0,25.0,141.6047958213193,1364003.4724791492
76,76,1.9083333333333328,0.0,11385.95717784291,22.52375461451848,21.875708891031103,25.0,25.0,25.0,25.0,25.0,25.0,141.59557241902388,1363893.3301116163
77,77,1.95,0.0,11385.95717784291,22.521767093383666,21.876719967571134,24.99,24.99,24.99,24.99,24.99,24.99,141.45772924710613,1360755.2960329098
78,78,1.9916666666666667,0.0,11385.95717784291,22.524923852598004,21.87730466038048,24.99,24.99,24.99,24.99,24.99,24.99,141.54846579985627,1363244.7598389902
79,79,2.0333333333333337,0.0,11385.95717784291,22.524604612871016,21.8775759714742,24.99,24.99,24.99,24.99,24.99,24.99,141.48092424261603,1361116.19101053
80,80,2.075,0.0,11385.95717784291,22.52324552985468,21.87726042702461,24.98,24.98,24.98,24.98,24.98,24.98,141.39738668022002,1359315.264737336
81,81,2.1166666666666667,0.0,11385.95717784291,22.525638192865518,21.877197686195196,24.98,24.98,24.98,24.98,24.98,24.98,141.4719995687224,1360972.491752285
82,82,2.158333333333333,0.0,11385.95717784291,22.52615287993462,21.87723309316595,24.98,24.98,24.98,24.98,24.98,24.98,141.43613663673742,1360163.2083941095
83,83,2.2,0.0,11385.95717784291,22.523657525788845,21.876678679664124,24.97,24.97,24.97,24.97,24.97,24.97,141.3128466078644,1356920.5981818766
84,84,2.2,0.0,11385.95717784291,22.528690426040807,21.87805316912672,24.97,24.97,24.97,24.97,24.97,24.97,141.33299129771956,1357800.362299468
85,85,2.2,0.0,11385.95717784291,22.527397493526074,21.880979755342523,24.96,24.96,24.96,24.96,24.96,24.96,141.03553286773095,1350583.6098632305
86,86,2.2,0.0,11385.95717784291,22.529047156874483,21.885446378623037,24.95,24.95,24.95,24.95,24.95,24.95,140.94406196233558,1347978.5971134894
87,87,2.2,0.0,11385.95717784291,22.532706970147537,21.89115738258289,24.95,24.95,24.95,24.95,24.95,24.95,140.92267379573104,1347034.6599797574
88,88,2.2,0.0,11385.95717784291,22.53177580586,21.896481750517935,24.94,24.94,24.94,24.94,24.94,24.94,140.68114328292185,1341518.9515497254
89,89,2.2,0.0,11385.95717784291,22.532881411315426,21.901476137379788,24.93,24.93,24.93,24.93,24.93,24.93,140.5536772076537,1338444.3220008388
90,90,2.2,94.25000000000004,11367.293313076016,22.53988129488155,21.90386536035311,24.92,24.92,24.92,24.92,24.92,24.92,139.9396317633382,1322997.6404106182
91,91,2.2,133.49999999999997,11338.792953991962,22.55355983520045,21.90905407681648,24.92,24.92,24.92,24.92,24.92,24.92,139.6100851404786,1315059.6929803959
92,92,2.2,172.75,11272.96486537412,22.59036270116412,21.923180061991356,24.91,24.91,24.91,24.91,24.91,24.91,139.16863583887465,1302052.937721066
93,93,2.2,212.0,11244.46450629007,22.320726058995824,21.857831884638,24.9,24.9,24.9,24.9,24.9,24.9,121.29556676758119,1151277.45479796
94,94,2.2,251.24999999999997,11244.46450629007,22.28984832071901,21.76310485563478,24.89,24.89,24.89,24.89,24.89,24.89,119.98541265429829,1117112.0389853716
95,95,2.2,290.5,11197.300304505483,22.28238298476907,21.72510525723217,24.88,24.88,24.88,24.88,24.88,24.88,119.4937512872989,1097809.1244593682
96,96,2.2,329.75,11197.300304505483,22.278632861225105,21.708715096194094,24.87,24.87,24.87,24.87,24.87,24.87,119.2410181648312,1087373.4421244576
97,97,2.2,369.00000000000006,11197.300304505483,22.27456119269102,21.69614819296964,24.86,24.86,24.86,24.86,24.86,24.86,119.0129193528407,1078111.1322539558
98,98,2.2,408.25,11197.300304505483,22.272534593080135,21.68579766736345,24.84,24.84,24.84,24.84,24.84,24.84,118.92385181804794,1068948.7228486913
99,99,2.2,447.50000000000006,11197.300304505483,22.274005332993035,21.678099671769854,24.83,24.83,24.83,24.83,24.83,24.83,118.89629910193906,1061366.0610294705
100,100,2.2,486.75,11197.300304505483,22.27660666250185,21.672274627194877,24.82,24.82,24.82,24.82,24.82,24.82,118.90326665791201,1054438.1244532976
101,101,2.2,526.0,11197.300304505483,22.278909964394607,21.66746596747864,24.81,24.81,24.81,24.81,24.81,24.81,118.88105668460463,1046428.870813427
102,102,2.2,533.2500000000001,11197.300304505483,22.27934507129323,21.662691894942526,24.79,24.79,24.79,24.79,24.79,24.79,118.82584424145443,1038734.7396952616
103,103,2.2,540.4999999999999,11150.136102720891,22.282406137851677,21.658420797712026,24.78,24.78,24.78,24.78,24.78,24.78,118.81495963345391,1033353.927989938
104,104,2.2,547.75,11150.136102720891,22.285060959582047,21.654729441878985,24.77,24.77,24.77,24.77,24.77,24.77,118.81300458020424,1027997.2496994259
105,105,2.2,555.0,11150.136102720891,22.28455088137272,21.650699098109197,24.75,24.75,24.75,24.75,24.75,24.75,118.74650073456966,1019665.5310323512
106,106,2.2,562.25,11150.136102720891,22.28821594181253,21.646731929020767,24.74,24.74,24.74,24.74,24.74,24.74,118.80409620239,1018055.222087791
107,107,2.2,569.5,11150.136102720891,22.28660226821506,21.642425352567024,24.72,24.72,24.72,24.72,24.72,24.72,118.69524160433384,1008713.0541287969
108,108,2.2,576.7500000000001,11150.136102720891,22.286514498020654,21.64090335733088,24.71,24.71,24.71,24.71,24.71,24.71,118.64930888885927,1003456.5224926523
109,109,2.2,583.9999999999999,11150.136102720891,22.287063887773552,21.63865106202802,24.68999999999999,24.68999999999999,24.68999999999999,24.68999999999999,24.68999999999999,24.68999999999999,118.56310152402651,995204.1024564008
110,110,2.2,591.25,11150.136102720891,22.289583139739882,21.638696420078134,24.67999999999999,24.67999999999999,24.67999999999999,24.67999999999999,24.67999999999999,24.67999999999999,118.52882137185298,990164.248016592
111,111,2.2,598.5000000000001,11150.136102720891,22.286456551766843,21.638419680162286,24.66,24.66,24.66,24.66,24.66,24.66,118.42462190120129,982444.6098374414
112,112,2.2,605.7499999999999,11150.136102720891,22.286809504566012,21.63793938665725,24.64,24.64,24.64,24.64,24.64,24.64,118.34093185246738,975509.314815182
113,113,2.2,613.0,11102.971900936303,22.288332174830213,21.638260284093256,24.63,24.63,24.63,24.63,24.63,24.63,118.31254584176945,970446.304975042
114,114,2.2,633.6666666666666,11102.971900936303,22.28516073880457,21.63799334478701,24.609999999999985,24.609999999999985,24.609999999999985,24.609999999999985,24.609999999999985,24.609999999999985,118.22867745103613,961361.3192098788
115,115,2.2,654.3333333333334,11102.971900936303,22.283748617870412,21.637681674705753,24.589999999999968,24.589999999999968,24.589999999999968,24.589999999999968,24.589999999999968,24.589999999999968,118.16113878408116,952883.8669041471
116,116,2.2,675.0,11102.971900936303,22.28175156110977,21.6371702367238,24.56999999999997,24.56999999999997,24.56999999999997,24.56999999999997,24.56999999999997,24.56999999999997,118.09805778108299,944924.9183657528
117,117,2.2,695.6666666666665,11102.971900936303,22.281888070989734,21.636889276970688,24.559999999999967,24.559999999999967,24.559999999999967,24.559999999999967,24.559999999999967,24.559999999999967,118.09564767665381,938990.7468400665
118,118,2.2,716.3333333333333,11102.971900936303,22.27927293918148,21.636357350071922,24.539999999999967,24.539999999999967,24.539999999999967,24.539999999999967,24.539999999999967,24.539999999999967,117.99329008924805,929878.6660404708
119,119,2.2,737.0,11102.971900936303,22.27754468506155,21.635670281769734,24.519999999999968,24.519999999999968,24.519999999999968,24.519999999999968,24.519999999999968,24.519999999999968,117.94580606967938,921891.1276624316
120,120,2.25,757.6666666666667,11102.971900936303,22.27574971963786,21.637007996754953,24.5,24.5,24.5,24.5,24.5,24.5,117.81917903578731,910441.2637806492
